Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Armenia,ARM,Rural land area (sq. km),AG.LND.TOTL.RU.K2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
American Samoa,ASM,Rural land area (sq. km),AG.LND.TOTL.RU.K2,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532,87.64226532
Antigua and Barbuda,ATG,Rural land area (sq. km),AG.LND.TOTL.RU.K2,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616,167.8600616
Australia,AUS,Rural land area (sq. km),AG.LND.TOTL.RU.K2,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5,7641564.5
Austria,AUT,Rural land area (sq. km),AG.LND.TOTL.RU.K2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Azerbaijan,AZE,Rural land area (sq. km),AG.LND.TOTL.RU.K2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Burundi,BDI,Rural land area (sq. km),AG.LND.TOTL.RU.K2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Belgium,BEL,Rural land area (sq. km),AG.LND.TOTL.RU.K2,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063,18091.89063
Benin,BEN,Rural land area (sq. km),AG.LND.TOTL.RU.K2,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609,113916.9609
Burkina Faso,BFA,Rural land area (sq. km),AG.LND.TOTL.RU.K2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
